106,GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,TRUE,TRUE
107,Crew-1,2020-11-16T00:27:00.000Z,TRUE,TRUE
110,CRS-21,2020-12-06T16:17:00.000Z,TRUE,TRUE
113,Turksat 5A,2021-01-08T02:15:00.000Z,TRUE,TRUE
98,ANASIS-II,2020-07-20T21:30:00.000Z,TRUE,TRUE
99,Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,TRUE,TRUE
100,Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,TRUE,TRUE
108,Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,TRUE,TRUE
102,Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,TRUE,TRUE
103,Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,TRUE,TRUE
104,Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,TRUE,TRUE
105,Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,TRUE,TRUE
112,NROL-108,2020-12-19T14:00:00.000Z,TRUE,TRUE
109,Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,TRUE,TRUE
114,Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,TRUE,TRUE
115,Transporter-1,2021-01-24T15:00:00.000Z,TRUE,TRUE
116,Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,TRUE,TRUE
